Vert_Group,Order,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID,Migratory_Status,Mixed_Status_Species,Notes_Migration,Additional_Sources_Migration
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.17,0.2885,293.9392106,3,null,null,N,null,null,null,null,null,null,null,5.4601,3.3439,106.0750663,3,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,Prebreeding,N,N,Y,N,N,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.327,null,null,1,null,null,N,null,null,null,null,null,null,null,3.2065,null,null,1,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.3546,0.4381,174.7227754,2,null,null,N,null,null,null,null,null,null,null,3.8016,2.5067,93.25045078,2,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Adult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Prebreeding, Laying",N,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.3682,0.1923,250.4721352,23,null,null,N,null,null,null,null,null,null,null,6.0483,1.3192,104.6023006,23,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,Prebreeding,N,N,Y,N,N,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.4956,0.0381,10.87198078,2,null,null,N,null,null,null,null,null,null,null,9.179,1.13,17.40997195,2,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Adult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.5874,0.1333,39.30581761,3,null,null,N,null,null,null,null,null,null,null,11.0308,1.3246,20.79880425,3,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Adult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Prebreeding, Laying",N,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.6774,0.25,116.7064386,10,null,null,N,null,null,null,null,null,null,null,6.0298,2.0739,108.7639331,10,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.7069,0.4808,152.0867851,5,null,null,N,null,null,null,null,null,null,null,7.3195,1.9771,60.39934419,5,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,Young care,N,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.7795,null,null,1,null,null,N,null,null,null,null,null,null,null,2.3717,null,null,1,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,null,N,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.8165,0.1539,67.96011528,13,null,null,N,null,null,null,null,null,null,null,8.5234,1.6469,69.66682774,13,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
