"Latitude","Longitude","Pop_ID"
31.133,-97.767,"31.133_-97.767_Setophaga_chrysoparia"
48.72,-120.66,"48.72_-120.66_Setophaga_coronata"
58.733,-93.817,"58.733_-93.817_Setophaga_petechia"
42.405,-85.401,"42.405_-85.401_Setophaga_petechia"
58.617,-94.217,"58.617_-94.217_Setophaga_petechia"
39.4,-79.117,"39.4_-79.117_Setophaga_petechia"
NA,NA,"null_null_Setophaga_townsendi"
59.933,10.55,"59.933_10.55_Sitta_europaea"
78.9,12.217,"78.9_12.217_Somateria_mollissima"
78.917,12.117,"78.917_12.117_Somateria_mollissima"
78.933,12.217,"78.933_12.217_Somateria_mollissima"
64.03,-81.789,"64.03_-81.789_Somateria_mollissima"
63.87,-22.56,"63.87_-22.56_Somateria_mollissima"
59.842984,23.244,"59.842984_23.244_Somateria_mollissima"
78.917,20.117,"78.917_20.117_Somateria_mollissima"
70.45,-149.683,"70.45_-149.683_Somateria_spectabilis"
-44.039,-65.1988,"-44.039_-65.1988_Spheniscus_magellanicus"
-42.083,-63.82,"-42.083_-63.82_Spheniscus_magellanicus"
68.633,-149.633,"68.633_-149.633_Spizella_arborea"
42.405,-85.401,"42.405_-85.401_Spizella_passerina"
9.074,-79.66,"9.074_-79.66_Sporophila_corvina"
53.504984,8.098206,"53.504984_8.098206_Sterna_hirundo"
52.405,-0.237,"52.405_-0.237_Sturnus_vulgaris"
21.852,-105.885,"21.852_-105.885_Sula_nebouxii"
-22.333,40.353,"-22.333_40.353_Sula_sula"
30.8667,34.7833,"30.8667_34.7833_Sylvia_curruca"
44.567336,-76.32318,"44.567336_-76.32318_Tachycineta_bicolor"
42.967,-79.867,"42.967_-79.867_Tachycineta_bicolor"
42.13989,-73.305822,"42.13989_-73.305822_Tachycineta_bicolor"
42.4,-73.3,"42.4_-73.3_Tachycineta_bicolor"
42.44,-73.26,"42.44_-73.26_Tachycineta_bicolor"
42.65,-71.11,"42.65_-71.11_Tachycineta_bicolor"
-49.39,69.35,"-49.39_69.35_Thalassarche_melanophrys"
-49.348,70.217,"-49.348_70.217_Thalassarche_melanophrys"
9.074,-79.66,"9.074_-79.66_Thamnophilus_atrinucha"
33.45,-112.067,"33.45_-112.067_Toxostoma_curvirostre"
33.944,-112.385,"33.944_-112.385_Toxostoma_curvirostre"
33.43,-111.94,"33.43_-111.94_Toxostoma_curvirostre"
34.684,-111.326,"34.684_-111.326_Toxostoma_curvirostre"
33.274,-112.281,"33.274_-112.281_Toxostoma_curvirostre"
33.427,-111.943,"33.427_-111.943_Toxostoma_curvirostre"
33.45176474,-111.8808921,"33.45176474_-111.8808921_Toxostoma_curvirostre"
34.337,-110.937,"34.337_-110.937_Troglodytes_aedon"
9.074,-79.66,"9.074_-79.66_Turdus_grayi"
46.817,6.933,"46.817_6.933_Tyto_alba"
46.183,7.3,"46.183_7.3_Upupa_epops"
70.388445,31.156784,"70.388445_31.156784_Uria_aalge"
19.8211,-155.3306,"19.8211_-155.3306_Vestiaria_coccinea"
31.133,-97.767,"31.133_-97.767_Vireo_griseus"
37.133333,-91.05,"37.133333_-91.05_Vireo_olivaceus"
46.851,-119.3612,"46.851_-119.3612_Xanthocephalus_xanthocephalus"
44.5,-71.59,"44.5_-71.59_Zonotrichia_albicollis"
9.554,-83.668,"9.554_-83.668_Zonotrichia_capensis"
-0.3667,-78.15,"-0.3667_-78.15_Zonotrichia_capensis"
-0.35,-78.1,"-0.35_-78.1_Zonotrichia_capensis"
37.5,-119.15,"37.5_-119.15_Zonotrichia_leucophrys"
37.3,-119.26,"37.3_-119.26_Zonotrichia_leucophrys"
38.959,-106.989,"38.959_-106.989_Zonotrichia_leucophrys"
49.28,-123.12,"49.28_-123.12_Zonotrichia_leucophrys"
47.61,-122.333,"47.61_-122.333_Zonotrichia_leucophrys"
68.633,-149.633,"68.633_-149.633_Zonotrichia_leucophrys"
36.469,-121.91,"36.469_-121.91_Zonotrichia_leucophrys"
36.6,-121.9,"36.6_-121.9_Zonotrichia_leucophrys"
37.783,-122.417,"37.783_-122.417_Zonotrichia_leucophrys"
38.067,-122.883,"38.067_-122.883_Zonotrichia_leucophrys"
46.902685,-124.127893,"46.902685_-124.127893_Zonotrichia_leucophrys"
47.744,-121.087,"47.744_-121.087_Zonotrichia_leucophrys"
46.855541,-124.102679,"46.855541_-124.102679_Zonotrichia_leucophrys"
48.731,-120.672,"48.731_-120.672_Zonotrichia_leucophrys"
38.314766,-123.069569,"38.314766_-123.069569_Zonotrichia_leucophrys"
46.843,-122.294,"46.843_-122.294_Zonotrichia_leucophrys"
38.328,-119.636,"38.328_-119.636_Zonotrichia_leucophrys"
